а	und, aber
композитор	Komponist
компьютер	Computer
конверт	Briefumschlag
конец	Ende
конечно	natürlich
конфета	Praline
концерт	Konzert
конь	Pferd
копейка	Kopeke/	russ.	Pfennig
корабль	Schiff
коридор	Flur
коричневый	braun
короткий	kurz
космический	kosmisch
космонавт	Kosmonaut, Astronaut
космос	Weltall
костюм	Anzug, Kostüm
который	welcher
кофе	Kaffee
кошка	Katze
красивый	hübsch
красный	rot
кресло	Sessel
кровать	Bett
кролик	Kaninchen
круглый	rund
кто	wer
кто-то	jemand
куда	wohin
культура	Kultur
курица	Huhn
курс	Kurs
куртка	Jacke
кухня	Küche
лампа	Lampe
лебедь	Schwan
левый	linke
легко	einfach
лекарство	Medizin
лекция	Lektion
лес	Wald
лестница	Treppe, Leiter
летний	sommerlich
лето	Sommer
летом	im Sommer
лёгкий	leicht
лимон	Zitrone
литература	Literatur
лифт	Fahrstuhl
лицо	Gesicht
лоб	Stirn
ложка	Löffel
луна	Mond
лучше	besser
лыжи	Ski
любимый	Lieblings-
любовь	Liebe
люди	Menschen
магазин	Geschäft
магнитофон	Tonbandgerät
май	Mai
маленький	klein
мало	wenig
мальчик	Junge
мама	Mama
марка	Marke
март	März
масло	Butter
математик	Mathematiker
математика	Mathematik
мать	Mutter
машина	Maschine
медицина	Medizin
медленно	langsam
медсестра	Krankenschwester
международный	international
менеджер	Manager
меньше	weniger
место	Platz
месяц	Monat
метр	Meter
метро	U-Bahn
мечта	Traum
милиционер	Millionär
милиция	Miliz/Polizei
миллион	Million
минус	minus
минута	Minute
мир	Frieden, Welt
младший	jüngere
многие	viele
много	viel
модный	modisch
может	быть	vielleicht
можно	man kann
мой	mein
молодёжный	jugendlich
молодёжь	Jugend
молодец	Prachtkerl
молоко	Milch
момент	Moment
море	Meer
мороженое	Eiscreme
москвич	Moskauer
москвичка	Moskauerin
муж	Ehemann
мужской	männlich
мужчина	Mann
музей	Museum
музыка	Musik
музыкант	Musiker
мультфильм	Zeichentrickfilm
мы	wir
мыло	Seife
мягкий	weich
мясо	Fleisch
мяч	Ball
на	auf
наверное	wahrscheinlich
надо	man muss
назад	zurück
наконец	schließlich
налево	nach links
направо	nach rechts
например	zum Beispiel
народ	Leute
напротив	gegenüber
наука	Wissenschaft
научный	wissenschaftlich
национальный	national
начало	Anfang
наш	unser
не	nicht
небо	Wolke
невозможно	unmöglich
недавно	vor kurzem
недалеко	unweit
неделя	Woche
нельзя	man darf nicht
немец	Deutscher
немецкий	Deutsch
немка	Deutsche
несколько	einige
